movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,audience_count,review_content,cleaned_content,keywords,combined_keywords
Lars and the Real Girl,"Extremely shy Lars (Ryan Gosling) finds it impossible to make friends or socialize. His brother (Paul Schneider) and sister-in-law (Emily Mortimer) worry about him, so when he announces that he has a girlfriend he met on the Internet, they are overjoyed. But Lars' new lady is a life-size plastic woman. On the advice of a doctor (Patricia Clarkson), his family and the rest of the community go along with his delusion.","Lars and the Real Girl could've so easily been a one-joke movie. But the talented cast, a great script, and direction never condescends to its character or the audience.",PG-13,Comedy,Craig Gillespie,Nancy Oliver,"Ryan Gosling, Emily Mortimer, Paul Schneider, R.D. Reid, Kelli Garner, Nancy Beatty, Doug Lennox, Joe Bostick, Liz Gordon, Nicky Guadagni, Patricia Clarkson, Karen Robinson, Billy Parrott, Maxwell McCabe-Lokos, Sally Cahill, Angela Vint, Liisa Repo-Martell, Boyd Banks, Darren Hynes, Tommy Chang, Arnold Pinnock, Joshua Peace, Tannis Burnett, Lindsey Connell",105725.0,"Thanks to grounded performances from its top-notch cast, Lars overcomes an ultra-quirky premise and develops into a thoughtful, albeit unusual, romance.",thanks to grounded performances from its top notch cast lars overcomes an ultra quirky premise and develops into a thoughtful albeit unusual romance ,grounded performances notch cast lars overcomes ultra quirky premise unusual,grounded performances notch cast lars overcomes ultra quirky premise unusual Comedy
The Rape of Europa,"In addition to being some of the worst war criminals in history, Hitler and the Nazi regime were also among the most prolific art thieves. During World War II, the Third Reich ordered the destruction of thousands of pieces of art from ""inferior"" cultures and the theft of thousands more. This documentary explores the effects of the cultural destruction perpetrated by the Nazis across Europe, and examines the ongoing struggle to recover and return the stolen art.",The Rape of Europa grapples with a subject that's vast and powerful enough to fill several films -- and emerges with a story as fascinating as it is infuriating.,NR,"Documentary, Musical & Performing Arts","Richard Berge, Bonni Cohen, Nicole Newnham","Richard Berge, Bonni Cohen, Nicole Newnham",Joan Allen,1297.0,"You don't have to be an art lover to shed a few tears over the excellent human spirit involved in protecting such art treasures from violent, despotic greed. And, for their proper restitution.",you don t have to be an art lover to shed a few tears over the excellent human spirit involved in protecting such art treasures from violent despotic greed and for their proper restitution ,art lover treasures excellent human spirit involved violent despotic greed,"art lover treasures excellent human spirit involved violent despotic greed Documentary, Musical & Performing Arts"
Under the Sea 3D,People come face to face with mysterious and stunning creatures of the ocean off Australia and New Guinea.,Technically and visually dazzling...,G,Documentary,Howard Hall,"Howard Hall, Toni Myers, Graeme Ferguson",Jim Carrey,14062.0,"This is a raw, brutal arena of cold-eyed predators chomping the weakest and inexpressibly ugly beings that have evolved so as to be disturbingly well camouflaged, utterly invisible until they make a deadly lunge at some poor vulnerable little fishy.",this is a raw brutal arena of cold eyed predators chomping the weakest and inexpressibly ugly beings that have evolved so as to be disturbingly well camouflaged utterly invisible until they make a deadly lunge at some poor vulnerable little fishy ,raw brutal arena inexpressibly ugly beings eyed predators chomping utterly,raw brutal arena inexpressibly ugly beings eyed predators chomping utterly Documentary
El Baño del Papa (The Pope's Toilet),A smuggler (César Troncoso) wants to provide a public toilet for the thousands who will gather for the pope's visit.,"An offbeat charmer, The Pope's Toilet is a humorous, well-crafted tale with plenty of heart and a poignant social message.",NR,"Art House & International, Comedy, Drama","César Charlone, Enrique Fernández","César Charlone, Enrique Fernández","Virginia Méndez, Virginia Ruíz, Mario Silva, César Troncoso, José Arce, Henry De Leon, Rodrigo dos Santos, Nelson Lence, Alex Silva, Baltasar Burgos, Carlos Lerena, Aníbal Santos Núñez, Marcelo Ornes, Wally Abreo, Paula Larruina, Carlos Lissardy, Hugo Blandamuro, William Aceredo, Emilio Pica, Lindolfo Aeske, Cynthia Sylveira, Pablo Solano, Rosana Villa, Yolanda Mederos, Brandon Antuña, Jessica Tiscornia, Rolando Izquierdo, Carlos Andrade, Andrea Álvarezs, Jorge Manzilla, Julia Romero Stoppiello, Angélica Silvera, Marlene Vilela, Diego De Silva, Tonatan Da Silva, Marcos Mier, Walter Ferreira, Jorge Almeida, Romulo Ortiz, Raul Olivera, Víctor Pérez, Mirta Machado",4241.0,"Although not the best imaginative movie title ever to grace a matinee sign, The Pope's Toilet resonates with a distinctive warmth and sense of reality and purpose.",although not the best imaginative movie title ever to grace a matinee sign the pope s toilet resonates with a distinctive warmth and sense of reality and purpose ,best imaginative movie title toilet resonates matinee sign distinctive warmth,"best imaginative movie title toilet resonates matinee sign distinctive warmth Art House & International, Comedy, Drama"
Remember Me,"Tyler (Robert Pattinson) has had a strained relationship with his father (Pierce Brosnan) since a family tragedy. Rebellious and troubled, he thinks no one can understand his pain, then he meets Ally (Emilie de Ravin). Her warmth and spirit soon begin to heal him, and they fall in love. But just when Tyler begins to rediscover happiness and meaning in his life, emerging secrets threaten their romance.","Its leads are likeable, but Remember Me suffers from an overly maudlin script and a borderline offensive final twist.",PG-13,"Drama, Romance",Allen Coulter,"Jenny Lumet, Will Fetters","Robert Pattinson, Emilie De Ravin, Chris Cooper, Pierce Brosnan, Lena Olin, Tate Ellington, Ruby Jerins, Gregory Jbara, Meghan Markle, Chris McKinney, Kate Burton, Caitlyn Paige Rund, Chris Clawson, Kevin P. McCarthy, Moises Acevedo, Noel Rodriguez, Athena Currey, Angela Pietropinto, Lee Brock, Emily Wickersham, Kelli Barrett, Jon Trotsky, Drew Leary, Bob Colletti, Bob Coletti, Scott Burik, William Cote Kruschwitz, Doug Crosby, Douglas Crosby, Scott Nicholson, Tricia Paoluccio, Peyton List, Morgan Turner, Olga Merediz, Ebrahim Abe Jaffer, David Anzuelo, Sandor Tecsy, Justin Grace, Michael Hobbs, David Wilson Barnes, Emily Godshall, Jane Harnick, Andrea Navedo, Bill Burns",411657.0,"R-Patz shows he can act, standing toe to toe with the fine Chris Cooper and looking like James Dean in comparison to the annoying Tate Ellington, who plays Tyler's ""comedy"" flatmate.",r patz shows he can act standing toe to toe with the fine chris cooper and looking like james dean in comparison to the annoying tate ellington who plays tyler s comedy flatmate ,r patz shows fine chris cooper annoying tate ellington standing,"r patz shows fine chris cooper annoying tate ellington standing Drama, Romance"
13 Assassins,"In this remake of a 1963 film based on historical events, Shinzaemon Shimada (Koji Yakusho) leads a team of assassins in 19th-century Japan to eliminate the ruthless Lord Naritsugu Matsudaira (Goro Inagaki), who is wreaking havoc against his own people. Hired secretly by a government official hoping to end Matsudaira's reign of terror, Shimada recruits the best samurai in Japan and then sets a trap for the lord's large contingent of faithful bodyguards.","Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache.",R,"Action & Adventure, Art House & International",Takashi Miike,"Shoichiro Ikemiya, Daisuke Tengan, Takashi Miike","Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki, Masachika Ichimura, Mikijiro Hira, Hiroki Matsukata, Ikki Sawamura, Arata Furuta, Tsuyoshi Ihara, Masataka Kubota, Sousuke Takaoka, Seiji Rokkaku, Kouen Kondo, Yuma Ishigaki, Kazuki Namioka, Kazue Fukiishi, Koshiro Matsumoto, Mitsuki Tanimura, Takumi Saito, Shinnosuke Abe, Seiyo Uchino, Ken Mitsuishi, Ittoku Kishibe",23975.0,"Impressively directed, sharply written and superbly acted, this is an emotionally engaging samurai drama that builds to a thrilling climactic showdown lasting a full 45 minutes.",impressively directed sharply written and superbly acted this is an emotionally engaging samurai drama that builds to a thrilling climactic showdown lasting a full 45 minutes ,impressively directed sharply written superbly acted thrilling climactic showdown lasting,"impressively directed sharply written superbly acted thrilling climactic showdown lasting Action & Adventure, Art House & International"
20th Century Women,"In 1979 Santa Barbara, Calif., Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women -- Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbor -- to help with Jamie's upbringing.",20th Century Women offers Annette Bening a too-rare opportunity to shine in a leading role -- and marks another assured step forward for writer-director Mike Mills.,R,"Comedy, Drama",Mike Mills,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Lucas Jade Zumann, Billy Crudup, Alison Elliott, Thea Gill, Vitaly A. Lebeau, Olivia Hone, Waleed Zuaiter, Curran Walters, Darrell Britt-Gibson, Alia Shawkat, Nathalie Love, Cameron Protzman, Victoria Bruno, John Billingsley, Cameron Gellman, Finnegan Bell, Zoe Nanos, Lauren Foley, Gareth Williams, J. Francisco Rodriguez, Zoë Worth, Finn Roberts, Laura Wiggins, Rick Gifford, Paul Tigue, Matthew Foster, Kirk Bovill, Victoria Hoffman, Christina Andrea Offley, Randy Ryan, Diana Bostan, Toni Gaal, Tanya Young, Hans-Peter Thomas, Kai Lennox, Paul Messinger, Eric Wentz, Sam Gros, Britt Sanborn, Alexis Milan Turner, Catherine Zelinsky, Boyce Buchanan, Kyle Olivia Green, Sam Marsh, Antonia Marie Vivino, Sara Pelayo, Annabelle Lee, Avi Boyko, Tyler Leyva, Cameron Simon, Christopher Carroll, Hayden Gold, Al Wexo, Peter Mason, Padriac Cassidy, Matthew Cardarople, Toni Christopher, Jesse Sanes, Sam Bosson, Ian Logan, Patrick Pastor, Trent Bowman, Justin T. Rivera, Desmond Shepherd, Joshua Burge, Daniel Dorr",12959.0,"Mills brings the era alive with spot-on pop culture asides, but he smartly makes the movie all about Bening, who crafts a brilliant portrait of a woman unwilling to pamper her son or shield him from the realities of her own life ...",mills brings the era alive with spot on pop culture asides but he smartly makes the movie all about bening who crafts a brilliant portrait of a woman unwilling to pamper her son or shield him from the realities of her own life ,mills brings pop culture asides era alive smartly makes unwilling,"mills brings pop culture asides era alive smartly makes unwilling Comedy, Drama"
2 Days in New York,"A happily married man's (Chris Rock) sanity is pushed to the limit when his wife's (Julie Delpy) crazed, over-sexed French relatives crash their cramped New York apartment.",2 Days in New York breezes past its shortcomings thanks to an enjoyably madcap plot and the sweet chemistry between its well-matched stars.,R,"Comedy, Drama",Julie Delpy,"Julie Delpy, Alex Nahon","Chris Rock, Julie Delpy, Albert Delpy, Alexia Landeau, Alexandre Nahon, Dylan Baker, Kate Burton, Malinda Williams, Talen Riley, Alex Manette, Emily Wagner, Daniel Brühl",6499.0,"Phrases are misunderstood! Tolerance for Euro-libertine ways are tested! Tame encounters turn into terrifying humiliations, because the French are, like, so crazy!",phrases are misunderstood tolerance for euro libertine ways are tested tame encounters turn into terrifying humiliations because the french are like so crazy ,misunderstood tolerance terrifying humiliations euro libertine ways tame encounters turn,"misunderstood tolerance terrifying humiliations euro libertine ways tame encounters turn Comedy, Drama"
The 40 Year Old Virgin,"Andy Stitzer (Steve Carell) is an amiable single guy who works at a big-box store. Living alone, 40-year-old Andy spends his free time playing video games and curating his action-figure collection. Despite his age, Andy has never had sex, so his friends, including the laid-back David (Paul Rudd), push Andy towards losing his virginity. While attempting to get over his awkwardness around female customers, Andy meets local shop owner Trish (Catherine Keener), and they begin a tentative romance.","Steve Carell's first star turn scores big with a tender treatment of its titular underdog, using raunchy but realistically funny comedy to connect with adult audiences.",R,Comedy,Judd Apatow,"Judd Apatow, Steve Carell","Steve Carell, Catherine Keener, Paul Rudd, Romany Malco, Seth Rogen, Elizabeth Banks, Leslie Mann, Jane Lynch, Gerry Bednob, Shelley Malil, Kat Dennings, Jordan Masterson, Chelsea Smith, Carla Gallo, Erica Vittina Phillips, Jonah Hill, Marika Dominczyk, Mindy Kaling, Mo Collins, Nancy Carell, Loudon Wainwright III, Jazzmun, Miki Mia, Denise Meyerson, Michael Bierman",306.0,"An unconscionably funny sex farce that, by its end, turns into a tender and honest romance, an acute portrait of loneliness and, believe it or not, a musical.",an unconscionably funny sex farce that by its end turns into a tender and honest romance an acute portrait of loneliness and believe it or not a musical ,unconscionably funny sex farce honest romance end turns acute portrait,unconscionably funny sex farce honest romance end turns acute portrait Comedy
45 Years,"As their 45th wedding anniversary approaches, a woman (Charlotte Rampling) learns that her husband (Tom Courtenay) was once engaged to someone else.",45 Years offers richly thought-provoking rewards for fans of adult cinema -- and a mesmerizing acting showcase for leads Charlotte Rampling and Tom Courtenay.,R,Drama,Andrew Haigh,Andrew Haigh,"Charlotte Rampling, Tom Courtenay, Geraldine James, Dolly Wells, David Sibley, Hannah Chambers, Richard Cunningham, Rufus Wright, Michelle Finch, Sam Alexander, Max Rudd, Camille Ucan, Charles Booth, Paul Goldsmith, Martin Atkinson, Rachel Banham, Kevin Matadeen, Peter Dean Jackson, Lucy Temple, Elle Tivey, Alexandra Riddleston",13761.0,"In the beautifully acted drama""45 Years,"" a marriage lives and dies; we watch its agonized struggle, like a butterfly impaled on a pin.",in the beautifully acted drama 45 years a marriage lives and dies we watch its agonized struggle like a butterfly impaled on a pin ,beautifully acted drama years agonized struggle like butterfly impaled marriage,beautifully acted drama years agonized struggle like butterfly impaled marriage Drama
A Million Ways to Die in the West,"Mild-mannered sheep farmer Albert Stark (Seth MacFarlane) feels certain that the Western frontier is trying to kill him, then he loses his girlfriend, Louise (Amanda Seyfried), to the town's most successful businessman. However, a beautiful, pistol-packing woman named Anna (Charlize Theron) rides into town and helps Albert find his inner courage. Then Stark must put his newfound bravery to the test when Anna's outlaw husband arrives with plans to plant him in an unmarked grave.","While it offers a few laughs and boasts a talented cast, Seth MacFarlane's overlong, aimless A Million Ways to Die in the West is a disappointingly scattershot affair.",R,"Comedy, Western",Seth MacFarlane,"Wellesley Wild, Seth MacFarlane, Alec Sulkin","Seth MacFarlane, Amanda Seyfried, Charlize Theron, Liam Neeson, Giovanni Ribisi, Neil Patrick Harris, Sarah Silverman, Evan Jones, Christopher Hagen, Wes Studi, Matt Clark, Aaron McPherson, Rex Linn, Brett Rickaby, Alex Borstein, Ralph Garman, John Aylward, Jay Patterson, Amick Byram, Dennis Haskins, Christopher Lloyd, Gilbert Gottfried, Ewan McGregor, John Michael Higgins, Julius Sharpe, Mike Miller, Ardy Brent Carlson, Alec Sulkin, Tatanka Means, Ivan Brutsche, Jean Effron, Bob Jesser, Dylan Kenin, Franklin Broderick Spencer, Mike Salazar, Jimmy Hart, Joe Berryman, Tait Fletcher, Kevin Wiggins, Jackamoe Buzzell",64677.0,"Well-meaning sheep farmer runs afoul of ruthless gunfighter. Also, Neil Patrick Harris sh*ts in a hat.",well meaning sheep farmer runs afoul of ruthless gunfighter also neil patrick harris sh ts in a hat ,meaning sheep farmer runs afoul neil patrick harris sh ts,"meaning sheep farmer runs afoul neil patrick harris sh ts Comedy, Western"
A Night In Old Mexico,"After traveling to Mexico with his grandson (Jeremy Irvine), a rancher (Robert Duvall) finds stolen money from a drug deal.",A Night in Old Mexico gives Robert Duvall a too-rare starring showcase -- then frustratingly wastes it on a contrived story that's often unworthy of his talents.,NR,Drama,Emilio Aragón,William D. Wittliff,"Robert Duvall, Jeremy Irvine, Angie Cepeda, Jim Parrack, Joaquín Cosio, Javier Gutiérrez, James Hebert, Michael Ray Escamilla, Abraham Benrubi, Rene Rhi, C.K. McFarland, Jonathan Cuellar, Eric A. Williams, Luis Tosar",485.0,"Unfortunately, there's a clichd bag-of-money plot surrounding Red's hell-with-old-age night out, which would have made a more unique movie on its own.",unfortunately there s a clichd bag of money plot surrounding red s hell with old age night out which would have made a more unique movie on its own ,clichd bag unique movie plot surrounding red old age night,clichd bag unique movie plot surrounding red old age night Drama
